"ROWID","MinimumLatitude","MaximumLatitude","MinimumLongitude","MaximumLongitude"
"43","38.86647415161133","38.891876220703125","-77.1296615600586","-77.0970230102539"
"30","38.86674118041992","38.89214324951172","-77.13094329833984","-77.09831237792969"
"31","38.86686325073242","38.892269134521484","-77.13116455078125","-77.09852600097656"
"85","38.86689376831055","38.89274597167969","-77.13700103759766","-77.10379028320312"
"41","38.86711883544922","38.892520904541016","-77.13400268554688","-77.10136413574219"
"37","38.86711883544922","38.892520904541016","-77.131103515625","-77.09846496582031"
"34","38.86711883544922","38.892520904541016","-77.13172912597656","-77.09909057617188"
"54","38.86711883544922","38.892520904541016","-77.12973022460938","-77.09709167480469"
"84","38.86711883544922","38.892520904541016","-77.13671875","-77.10408020019531"
"89","38.86711883544922","38.892520904541016","-77.1279296875","-77.09529113769531"
"48","38.86711883544922","38.892520904541016","-77.13018035888672","-77.09754943847656"
"36","38.86711883544922","38.892520904541016","-77.1312255859375","-77.09859466552734"
"33","38.86711883544922","38.892520904541016","-77.1322250366211","-77.09959411621094"
"71","38.86711883544922","38.892520904541016","-77.12863159179688","-77.09600067138672"
"46","38.86713409423828","38.892539978027344","-77.13434600830078","-77.10171508789062"
"126","38.86684036254883","38.89224624633789","-77.13056182861328","-77.09793090820312"
"127","38.86711883544922","38.892520904541016","-77.13018035888672","-77.09754943847656"
"128","38.86652755737305","38.89193344116211","-77.13096618652344","-77.09832763671875"
"129","38.86728286743164","38.8926887512207","-77.13055419921875","-77.09791564941406"
"134","38.86647415161133","38.891876220703125","-77.1296615600586","-77.0970230102539"
"135","38.86711883544922","38.892520904541016","-77.13172912597656","-77.09909057617188"
"138","38.86711883544922","38.892520904541016","-77.1322250366211","-77.09959411621094"
"140","38.86711883544922","38.892520904541016","-77.12885284423828","-77.09622192382812"
"174","38.867088317871094","38.892494201660156","-77.13374328613281","-77.10110473632812"
"189","38.86712646484375","38.89253234863281","-77.13431549072266","-77.1016845703125"
"249","38.86711883544922","38.892520904541016","-77.13072967529297","-77.09809112548828"
"252","38.86711883544922","38.892520904541016","-77.13172912597656","-77.09909057617188"
"256","38.86647415161133","38.891876220703125","-77.1296615600586","-77.0970230102539"
"257","38.86711883544922","38.892520904541016","-77.1322250366211","-77.09959411621094"
"279","38.86711883544922","38.892520904541016","-77.13384246826172","-77.10121154785156"
"299","38.86711883544922","38.892520904541016","-77.13423156738281","-77.10160064697266"
"291","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"290","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"289","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"288","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"287","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"286","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"285","38.86711883544922","38.892520904541016","-77.12773132324219","-77.09510040283203"
"276","38.865631103515625","38.89103698730469","-77.13336944580078","-77.10073852539062"
"272","38.864845275878906","38.8902473449707","-77.13117218017578","-77.09854125976562"
"4","38.864646911621094","38.89004898071289","-77.13182067871094","-77.09918975830078"
"92","38.86711883544922","38.892520904541016","-77.12782287597656","-77.0951919555664"
